기기명,시리즈,모델,용량,제품상태,가격
아이폰 6S 16GB,아이폰6S,없음,16GB,중,30000
아이폰 12 프로 128GB,아이폰12,프로,128GB,하,46000
아이폰 14 프로맥스 128GB,아이폰14,프로맥스,128GB,상,1420000
아이폰 14 프로맥스 128GB,아이폰14,프로맥스,128GB,상,1420000
아이폰 12 미니 128GB,아이폰12,미니,128GB,상,280000
아이폰 12 미니 64GB,아이폰12,미니,64GB,하,155000
아이폰 XR 128GB,아이폰XR,없음,128GB,하,165000
아이폰 12 64GB,아이폰12,없음,64GB,하,190000
아이폰 11 프로 맥스 256GB,아이폰11,프로맥스,256GB,하,470000
아이폰 7 플러스 128GB,아이폰7,플러스,128GB,하,100000
아이폰 XS 256GB,아이폰XS,없음,256GB,하,190000
아이폰 11 64GB,아이폰11,없음,64GB,하,235000
아이폰 12 프로 맥스 128GB,아이폰12,프로맥스,128GB,하,515000
아이폰 13 프로맥스 128GB,아이폰13,프로맥스,128GB,상,990000
아이폰 12 프로 맥스 256GB,아이폰12,프로맥스,256GB,하,555000
아이폰 11 프로 256GB,아이폰11,프로,256GB,상,495000
아이폰 11 128GB,아이폰11,없음,128GB,하,285000
아이폰 7 플러스 128GB,아이폰7,플러스,128GB,하,55000
아이폰 12 프로 256GB,아이폰12,프로,256GB,상,545000
아이폰 13 프로맥스 256GB,아이폰13,프로맥스,256GB,중,970000
아이폰 X 64GB,아이폰X,없음,64GB,하,35000
아이폰 X 64GB,아이폰X,없음,64GB,하,35000
아이폰 11 128GB,아이폰11,없음,128GB,하,235000
아이폰 14 512GB,아이폰14,없음,512GB,상,920000
아이폰 X 64GB,아이폰X,없음,64GB,하,110000
아이폰 X 64GB,아이폰X,없음,64GB,하,110000
아이폰 13 프로 256GB,아이폰13,프로,256GB,하,455000
아이폰 13 프로 128GB,아이폰13,프로,128GB,중,760000
아이폰 11 64GB,아이폰11,없음,64GB,하,205000
아이폰 13 프로 256GB,아이폰13,프로,256GB,상,870000
아이폰 XS 256GB,아이폰XS,없음,256GB,하,190000
아이폰 13 미니 128GB,아이폰13,미니,128GB,상,445000
아이폰 XS Max 256GB,아이폰XS,Max,256GB,중,360000
아이폰 13 프로 256GB,아이폰13,프로,256GB,상,870000
아이폰 11 프로 64GB,아이폰11,프로,64GB,하,300000
아이폰 SE2 (2020) 64GB,아이폰SE2,없음,64GB,하,85000
아이폰 SE2 (2020) 128GB,아이폰SE2,없음,128GB,상,175000
아이폰 12 프로 256GB,아이폰12,프로,256GB,하,405000
아이폰 XR 128GB,아이폰XR,없음,128GB,상,280000
아이폰 11 프로 64GB,아이폰11,프로,64GB,하,265000
아이폰 XR 64GB,아이폰XR,없음,64GB,중,200000
아이폰 11 128GB,아이폰11,없음,128GB,하,225000
아이폰 11 128GB,아이폰11,없음,128GB,하,265000
아이폰 7 32GB,아이폰7,없음,32GB,상,85000
아이폰 8 128GB,아이폰8,없음,128GB,상,123000
아이폰 XS 64GB,아이폰XS,없음,64GB,하,120000
아이폰 6S 64GB,아이폰6S,없음,64GB,하,45000
아이폰 XS Max 256GB,아이폰XS,Max,256GB,상,390000
아이폰 7 32GB,아이폰7,없음,32GB,하,8000
아이폰 12 64GB,아이폰12,없음,64GB,상,365000
아이폰 12 128GB,아이폰12,없음,128GB,상,445000
아이폰 8 플러스 64GB,아이폰8,플러스,64GB,하,130000
아이폰 7 128GB,아이폰7,없음,128GB,하,50000
아이폰 7 32GB,아이폰7,없음,32GB,중,46000
아이폰 7 32GB,아이폰7,없음,32GB,하,36000
아이폰 6S 32GB,아이폰6S,없음,32GB,하,31000
아이폰 8 플러스 64GB,아이폰8,플러스,64GB,하,140000
아이폰 12 미니 128GB,아이폰12,미니,128GB,상,256000
아이폰 12 미니 128GB,아이폰12,미니,128GB,상,256000
아이폰 X 64GB,아이폰X,없음,64GB,중,200000
아이폰 7 32GB,아이폰7,없음,32GB,하,35000
아이폰 X 64GB,아이폰X,없음,64GB,하,140000
아이폰 14 프로 128GB,아이폰14,프로,128GB,하,920000
아이폰 14 프로 128GB,아이폰14,프로,128GB,하,920000
아이폰 8 플러스 64GB,아이폰8,플러스,64GB,중,175000
아이폰 8 64GB,아이폰8,없음,64GB,하,80000
아이폰 7 128GB,아이폰7,없음,128GB,상,90000
아이폰 11 256GB,아이폰11,없음,256GB,중,390000
아이폰 8 플러스 64GB,아이폰8,플러스,64GB,하,140000
아이폰 8 플러스 64GB,아이폰8,플러스,64GB,하,140000
아이폰 SE2 (2020) 128GB,아이폰SE2,없음,128GB,하,115000
아이폰 XS 64GB,아이폰XS,없음,64GB,상,280000
아이폰 8 플러스 256GB,아이폰8,플러스,256GB,하,160000
아이폰 6 플러스 64GB,아이폰6,플러스,64GB,하,45000
아이폰 12 128GB,아이폰12,없음,128GB,하,310000
아이폰 11 64GB,아이폰11,없음,64GB,중,310000
아이폰 12 128GB,아이폰12,없음,128GB,상,430000
아이폰 12 128GB,아이폰12,없음,128GB,상,430000
아이폰 11 프로 64GB,아이폰11,프로,64GB,중,385000
아이폰 12 미니 64GB,아이폰12,미니,64GB,하,130000
아이폰 12 프로 맥스 256GB,아이폰12,프로맥스,256GB,하,555000
아이폰 12 프로 맥스 256GB,아이폰12,프로맥스,256GB,하,555000
아이폰 6 16GB,아이폰6,없음,16GB,상,45000
아이폰 12 프로 256GB,아이폰12,프로,256GB,상,545000
아이폰 14 프로맥스 256GB,아이폰14,프로맥스,256GB,하,1320000
아이폰 14 프로맥스 256GB,아이폰14,프로맥스,256GB,하,1320000
아이폰 14 프로맥스 256GB,아이폰14,프로맥스,256GB,하,1320000
아이폰 XS Max 256GB,아이폰XS,Max,256GB,중,345000
아이폰 13 미니 128GB,아이폰13,미니,128GB,하,380000
아이폰 XR 64GB,아이폰XR,없음,64GB,상,240000
아이폰 12 프로 맥스 128GB,아이폰12,프로맥스,128GB,하,399000
아이폰 11 프로 64GB,아이폰11,프로,64GB,하,255000
아이폰 12 128GB,아이폰12,없음,128GB,중,380000
아이폰 12 프로 맥스 128GB,아이폰12,프로맥스,128GB,하,290000
아이폰 12 프로 맥스 128GB,아이폰12,프로맥스,128GB,하,290000
아이폰 12 128GB,아이폰12,없음,128GB,중,385000
아이폰 6S 64GB,아이폰6S,없음,64GB,하,50000
아이폰 7 256GB,아이폰7,없음,256GB,상,100000
아이폰 12 128GB,아이폰12,없음,128GB,하,320000
아이폰 14 128GB,아이폰14,없음,128GB,상,620000
아이폰 8 128GB,아이폰8,없음,128GB,하,65000
아이폰 13 128GB,아이폰13,없음,128GB,중,495000
아이폰 XR 128GB,아이폰XR,없음,128GB,하,190000
아이폰 12 미니 64GB,아이폰12,미니,64GB,상,230000
아이폰 13 프로 256GB,아이폰13,프로,256GB,상,870000
아이폰 7 플러스 128GB,아이폰7,플러스,128GB,하,90000
아이폰 SE2 (2020) 128GB,아이폰SE2,없음,128GB,하,110000
아이폰 XS 64GB,아이폰XS,없음,64GB,하,130000
아이폰 11 64GB,아이폰11,없음,64GB,하,235000
아이폰 11 프로 64GB,아이폰11,프로,64GB,하,295000
아이폰 12 프로 맥스 256GB,아이폰12,프로맥스,256GB,중,650000
아이폰 12 64GB,아이폰12,없음,64GB,상,365000
아이폰 12 프로 128GB,아이폰12,프로,128GB,하,365000
아이폰 12 미니 128GB,아이폰12,미니,128GB,하,200000
아이폰 12 미니 64GB,아이폰12,미니,64GB,하,170000
아이폰 12 128GB,아이폰12,없음,128GB,하,210000
아이폰 12 프로 256GB,아이폰12,프로,256GB,하,435000
아이폰 11 프로 64GB,아이폰11,프로,64GB,하,295000
아이폰 13 프로 128GB,아이폰13,프로,128GB,하,545000
아이폰 12 프로 256GB,아이폰12,프로,256GB,하,435000
아이폰 11 프로 64GB,아이폰11,프로,64GB,하,265000
아이폰 11 프로 64GB,아이폰11,프로,64GB,상,415000
아이폰 12 프로 256GB,아이폰12,프로,256GB,상,545000
아이폰 12 미니 128GB,아이폰12,미니,128GB,하,200000
아이폰 XR 64GB,아이폰XR,없음,64GB,중,210000
아이폰 11 64GB,아이폰11,없음,64GB,하,205000
아이폰 14 플러스 128GB,아이폰14,플러스,128GB,상,690000
아이폰 7 플러스 128GB,아이폰7,플러스,128GB,상,165000
아이폰 XS 64GB,아이폰XS,없음,64GB,하,120000
아이폰 7 128GB,아이폰7,없음,128GB,상,100000
아이폰 13 프로 128GB,아이폰13,프로,128GB,상,790000
아이폰 11 256GB,아이폰11,없음,256GB,중,355000
아이폰 12 미니 64GB,아이폰12,미니,64GB,상,230000
아이폰 8 64GB,아이폰8,없음,64GB,하,60000
아이폰 SE3 (2022) 64GB,아이폰SE3,없음,64GB,하,1000
아이폰 11 프로 64GB,아이폰11,프로,64GB,하,265000
아이폰 SE3 (2022) 64GB,아이폰SE3,없음,64GB,상,175000
아이폰 12 미니 64GB,아이폰12,미니,64GB,상,230000
아이폰 14 프로맥스 1024GB,아이폰14,프로맥스,1024GB,상,1720000
아이폰 12 프로 256GB,아이폰12,프로,256GB,상,575000
아이폰 12 프로 256GB,아이폰12,프로,256GB,상,575000
아이폰 12 프로 256GB,아이폰12,프로,256GB,상,575000
아이폰 8 플러스 256GB,아이폰8,플러스,256GB,상,245000
아이폰 7 32GB,아이폰7,없음,32GB,하,8000
아이폰 7 32GB,아이폰7,없음,32GB,하,8000
아이폰 XR 128GB,아이폰XR,없음,128GB,하,190000
아이폰 14 프로맥스 256GB,아이폰14,프로맥스,256GB,상,1470000
아이폰 XS 64GB,아이폰XS,없음,64GB,하,130000
아이폰 8 64GB,아이폰8,없음,64GB,하,75000
아이폰 13 프로 256GB,아이폰13,프로,256GB,상,870000
아이폰 11 128GB,아이폰11,없음,128GB,상,395000
아이폰 11 128GB,아이폰11,없음,128GB,상,395000
아이폰 SE2 (2020) 128GB,아이폰SE2,없음,128GB,하,100000
아이폰 11 64GB,아이폰11,없음,64GB,하,160000
아이폰 12 프로 128GB,아이폰12,프로,128GB,하,395000
아이폰 12 프로 128GB,아이폰12,프로,128GB,중,475000
아이폰 11 128GB,아이폰11,없음,128GB,하,275000
아이폰 11 128GB,아이폰11,없음,128GB,하,275000
아이폰 11 64GB,아이폰11,없음,64GB,하,205000
아이폰 SE2 (2020) 128GB,아이폰SE2,없음,128GB,하,110000
아이폰 11 프로 256GB,아이폰11,프로,256GB,하,315000
아이폰 12 프로 128GB,아이폰12,프로,128GB,상,505000
아이폰 11 프로 256GB,아이폰11,프로,256GB,하,315000
아이폰 11 프로 256GB,아이폰11,프로,256GB,하,315000
아이폰 12 128GB,아이폰12,없음,128GB,하,320000
아이폰 XR 128GB,아이폰XR,없음,128GB,중,220000
아이폰 SE 64GB,아이폰SE,없음,64GB,하,1000
아이폰 XS Max 64GB,아이폰XS,Max,64GB,중,330000
아이폰 12 프로 512GB,아이폰12,프로,512GB,하,455000
아이폰 5S 64GB,아이폰5S,없음,64GB,상,8000
아이폰 SE2 (2020) 64GB,아이폰SE2,없음,64GB,상,155000
아이폰 XR 64GB,아이폰XR,없음,64GB,상,240000
아이폰 XS 256GB,아이폰XS,없음,256GB,하,165000
아이폰 12 프로 256GB,아이폰12,프로,256GB,하,435000
아이폰 12 프로 256GB,아이폰12,프로,256GB,하,435000
아이폰 12 프로 256GB,아이폰12,프로,256GB,하,435000
아이폰 12 미니 128GB,아이폰12,미니,128GB,하,180000
아이폰 8 플러스 256GB,아이폰8,플러스,256GB,중,165000
아이폰 11 프로 256GB,아이폰11,프로,256GB,하,340000
아이폰 SE3 (2022) 128GB,아이폰SE3,없음,128GB,상,260000
아이폰 8 플러스 64GB,아이폰8,플러스,64GB,하,105000
아이폰 XS 64GB,아이폰XS,없음,64GB,하,155000
아이폰 7 128GB,아이폰7,없음,128GB,하,50000
아이폰 14 프로맥스 256GB,아이폰14,프로맥스,256GB,하,1320000
아이폰 11 128GB,아이폰11,없음,128GB,하,275000
아이폰 X 256GB,아이폰X,없음,256GB,하,175000
아이폰 X 256GB,아이폰X,없음,256GB,하,175000
아이폰 11 프로 256GB,아이폰11,프로,256GB,상,495000
아이폰 12 미니 128GB,아이폰12,미니,128GB,하,46000
아이폰 11 프로 256GB,아이폰11,프로,256GB,하,340000
아이폰 13 128GB,아이폰13,없음,128GB,상,545000
아이폰 13 128GB,아이폰13,없음,128GB,상,545000
아이폰 11 128GB,아이폰11,없음,128GB,중,335000
아이폰 13 프로맥스 512GB,아이폰13,프로맥스,512GB,상,1130000
아이폰 12 프로 256GB,아이폰12,프로,256GB,상,545000
아이폰 12 프로 맥스 128GB,아이폰12,프로맥스,128GB,하,445000
아이폰 SE2 (2020) 128GB,아이폰SE2,없음,128GB,상,175000
아이폰 12 미니 128GB,아이폰12,미니,128GB,하,50000
아이폰 13 미니 128GB,아이폰13,미니,128GB,중,405000
아이폰 8 64GB,아이폰8,없음,64GB,상,140000
아이폰 12 64GB,아이폰12,없음,64GB,하,270000
아이폰 12 프로 256GB,아이폰12,프로,256GB,중,515000
아이폰 12 프로 맥스 128GB,아이폰12,프로맥스,128GB,하,445000
아이폰 13 256GB,아이폰13,없음,256GB,중,575000
아이폰 13 256GB,아이폰13,없음,256GB,중,575000
아이폰 13 256GB,아이폰13,없음,256GB,중,575000
아이폰 12 256GB,아이폰12,없음,256GB,중,405000
아이폰 12 프로 256GB,아이폰12,프로,256GB,하,435000
아이폰 SE3 (2022) 128GB,아이폰SE3,없음,128GB,상,260000
아이폰 11 프로 256GB,아이폰11,프로,256GB,하,31000
아이폰 13 미니 128GB,아이폰13,미니,128GB,상,445000
아이폰 12 128GB,아이폰12,없음,128GB,하,46000
아이폰 12 프로 맥스 128GB,아이폰12,프로맥스,128GB,하,365000
아이폰 7 128GB,아이폰7,없음,128GB,하,23000
아이폰 11 256GB,아이폰11,없음,256GB,상,415000
아이폰 X 256GB,아이폰X,없음,256GB,하,175000
아이폰 5S 16GB,아이폰5S,없음,16GB,하,3000
아이폰 11 프로 256GB,아이폰11,프로,256GB,하,340000
아이폰 XS 256GB,아이폰XS,없음,256GB,하,160000
아이폰 SE2 (2020) 64GB,아이폰SE2,없음,64GB,하,85000
아이폰 13 프로맥스 256GB,아이폰13,프로맥스,256GB,상,1070000
아이폰 8 128GB,아이폰8,없음,128GB,하,75000
아이폰 XS 256GB,아이폰XS,없음,256GB,하,165000
아이폰 6S 128GB,아이폰6S,없음,128GB,상,80000
아이폰 12 프로 맥스 128GB,아이폰12,프로맥스,128GB,상,640000
아이폰 12 프로 맥스 128GB,아이폰12,프로맥스,128GB,상,640000
아이폰 6S 64GB,아이폰6S,없음,64GB,중,50000
아이폰 11 128GB,아이폰11,없음,128GB,하,225000
아이폰 13 256GB,아이폰13,없음,256GB,상,625000
아이폰 13 256GB,아이폰13,없음,256GB,상,625000
아이폰 X 64GB,아이폰X,없음,64GB,하,75000
아이폰 SE3 (2022) 64GB,아이폰SE3,없음,64GB,하,120000
아이폰 11 128GB,아이폰11,없음,128GB,상,395000
아이폰 XR 128GB,아이폰XR,없음,128GB,하,165000
아이폰 13 프로 128GB,아이폰13,프로,128GB,상,790000
아이폰 13 미니 128GB,아이폰13,미니,128GB,상,445000
아이폰 SE2 (2020) 128GB,아이폰SE2,없음,128GB,상,175000
아이폰 12 미니 128GB,아이폰12,미니,128GB,하,200000
아이폰 12 미니 128GB,아이폰12,미니,128GB,하,200000
아이폰 X 64GB,아이폰X,없음,64GB,하,28000
아이폰 XS 64GB,아이폰XS,없음,64GB,하,120000
아이폰 SE2 (2020) 64GB,아이폰SE2,없음,64GB,하,75000
아이폰 SE2 (2020) 64GB,아이폰SE2,없음,64GB,하,75000
아이폰 11 프로 64GB,아이폰11,프로,64GB,하,295000
아이폰 11 프로 64GB,아이폰11,프로,64GB,상,415000
아이폰 8 64GB,아이폰8,없음,64GB,상,140000
아이폰 7 128GB,아이폰7,없음,128GB,하,55000
아이폰 7 128GB,아이폰7,없음,128GB,하,55000
아이폰 12 64GB,아이폰12,없음,64GB,하,270000
아이폰 SE3 (2022) 128GB,아이폰SE3,없음,128GB,상,260000
아이폰 X 64GB,아이폰X,없음,64GB,하,110000
아이폰 13 프로 256GB,아이폰13,프로,256GB,중,780000
아이폰 14 프로 128GB,아이폰14,프로,128GB,상,1170000
아이폰 13 프로맥스 128GB,아이폰13,프로맥스,128GB,상,990000
아이폰 11 프로 64GB,아이폰11,프로,64GB,상,415000
아이폰 12 미니 128GB,아이폰12,미니,128GB,하,200000
아이폰 11 64GB,아이폰11,없음,64GB,상,330000
아이폰 8 64GB,아이폰8,없음,64GB,하,65000
아이폰 7 128GB,아이폰7,없음,128GB,상,100000
아이폰 7 32GB,아이폰7,없음,32GB,상,85000
아이폰 12 64GB,아이폰12,없음,64GB,중,335000
아이폰 12 미니 128GB,아이폰12,미니,128GB,하,200000
아이폰 XS Max 64GB,아이폰XS,Max,64GB,중,310000
아이폰 11 프로 맥스 256GB,아이폰11,프로맥스,256GB,상,630000
아이폰 13 미니 256GB,아이폰13,미니,256GB,상,515000
아이폰 X 64GB,아이폰X,없음,64GB,상,240000
아이폰 13 256GB,아이폰13,없음,256GB,하,290000
아이폰 11 128GB,아이폰11,없음,128GB,상,395000
아이폰 12 미니 128GB,아이폰12,미니,128GB,하,200000
아이폰 12 미니 64GB,아이폰12,미니,64GB,상,230000
아이폰 11 프로 256GB,아이폰11,프로,256GB,하,275000
아이폰 8 64GB,아이폰8,없음,64GB,하,75000
아이폰 11 프로 맥스 256GB,아이폰11,프로맥스,256GB,하,470000
아이폰 7 128GB,아이폰7,없음,128GB,하,60000
아이폰 12 프로 128GB,아이폰12,프로,128GB,상,505000
아이폰 XR 128GB,아이폰XR,없음,128GB,하,165000
아이폰 6S 64GB,아이폰6S,없음,64GB,하,46000
아이폰 12 프로 맥스 256GB,아이폰12,프로맥스,256GB,상,680000
아이폰 13 128GB,아이폰13,없음,128GB,상,545000
아이폰 13 128GB,아이폰13,없음,128GB,상,545000
아이폰 11 프로 64GB,아이폰11,프로,64GB,하,295000
아이폰 11 프로 64GB,아이폰11,프로,64GB,하,295000
아이폰 12 프로 128GB,아이폰12,프로,128GB,하,395000
아이폰 SE 64GB,아이폰SE,없음,64GB,상,70000
아이폰 11 64GB,아이폰11,없음,64GB,중,320000
아이폰 12 프로 128GB,아이폰12,프로,128GB,상,505000
아이폰 11 128GB,아이폰11,없음,128GB,하,225000
아이폰 11 128GB,아이폰11,없음,128GB,상,395000
아이폰 13 프로 128GB,아이폰13,프로,128GB,상,790000
아이폰 8 256GB,아이폰8,없음,256GB,하,90000
아이폰 11 프로 맥스 256GB,아이폰11,프로맥스,256GB,하,430000
아이폰 11 프로 맥스 256GB,아이폰11,프로맥스,256GB,하,430000
아이폰 8 플러스 64GB,아이폰8,플러스,64GB,하,130000
아이폰 12 프로 128GB,아이폰12,프로,128GB,상,505000
아이폰 6S 64GB,아이폰6S,없음,64GB,하,3000
아이폰 13 256GB,아이폰13,없음,256GB,중,575000
아이폰 13 128GB,아이폰13,없음,128GB,상,545000
아이폰 13 256GB,아이폰13,없음,256GB,중,575000
아이폰 13 128GB,아이폰13,없음,128GB,상,545000
아이폰 12 미니 128GB,아이폰12,미니,128GB,하,175000
아이폰 11 프로 64GB,아이폰11,프로,64GB,하,300000
아이폰 8 128GB,아이폰8,없음,128GB,하,75000
아이폰 11 프로 64GB,아이폰11,프로,64GB,중,335000
아이폰 XS 256GB,아이폰XS,없음,256GB,하,190000
아이폰 7 128GB,아이폰7,없음,128GB,상,100000
아이폰 7 32GB,아이폰7,없음,32GB,하,36000
아이폰 13 128GB,아이폰13,없음,128GB,상,545000
아이폰 11 프로 256GB,아이폰11,프로,256GB,하,315000
아이폰 8 128GB,아이폰8,없음,128GB,하,75000
아이폰 12 미니 128GB,아이폰12,미니,128GB,하,200000
아이폰 11 128GB,아이폰11,없음,128GB,하,60000
아이폰 8 128GB,아이폰8,없음,128GB,하,75000
아이폰 X 64GB,아이폰X,없음,64GB,상,240000
아이폰 7 32GB,아이폰7,없음,32GB,상,85000
아이폰 12 프로 256GB,아이폰12,프로,256GB,상,575000
아이폰 13 프로 1024GB,아이폰13,프로,1024GB,하,680000
아이폰 XS 64GB,아이폰XS,없음,64GB,하,130000
아이폰 14 프로 256GB,아이폰14,프로,256GB,상,1270000
아이폰 14 128GB,아이폰14,없음,128GB,상,620000
아이폰 14 프로 256GB,아이폰14,프로,256GB,상,1270000
아이폰 12 프로 128GB,아이폰12,프로,128GB,하,395000
아이폰 11 128GB,아이폰11,없음,128GB,하,245000
아이폰 XR 64GB,아이폰XR,없음,64GB,하,165000
아이폰 XR 128GB,아이폰XR,없음,128GB,중,230000
아이폰 11 프로 512GB,아이폰11,프로,512GB,중,420000
아이폰 8 64GB,아이폰8,없음,64GB,하,65000
아이폰 14 프로맥스 256GB,아이폰14,프로맥스,256GB,상,1470000
아이폰 XS 256GB,아이폰XS,없음,256GB,중,250000
아이폰 12 128GB,아이폰12,없음,128GB,중,415000
아이폰 SE3 (2022) 256GB,아이폰SE3,없음,256GB,상,290000
아이폰 12 프로 128GB,아이폰12,프로,128GB,하,395000
아이폰 14 프로 128GB,아이폰14,프로,128GB,상,1170000
아이폰 13 미니 128GB,아이폰13,미니,128GB,중,335000
아이폰 11 128GB,아이폰11,없음,128GB,하,275000
아이폰 XS 256GB,아이폰XS,없음,256GB,하,165000
아이폰 11 프로 64GB,아이폰11,프로,64GB,하,265000
아이폰 11 128GB,아이폰11,없음,128GB,하,245000
